name,startTime,endTime
"Online Session - Week 1 - Tue 2pm","2021-02-16 14:00:00","2021-02-16 16:15:00"
"Online Session - Week 1 - Thu 2pm","2021-02-18 14:00:00","2021-02-18 16:15:00"
"Online Session - Week 2 - Tue 2pm","2021-02-23 14:00:00","2021-02-23 16:15:00"
"Online Session - Week 2 - Thu 2pm","2021-02-25 14:00:00","2021-02-25 16:15:00"
"Online Session - Week 3 - Tue 2pm","2021-03-02 14:00:00","2021-03-02 16:15:00"
"Online Session - Week 3 - Thu 2pm","2021-03-04 14:00:00","2021-03-04 16:15:00"
"Online Session - Week 4 - Tue 2pm","2021-03-09 14:00:00","2021-03-09 16:15:00"
"Online Session - Week 4 - Thu 2pm","2021-03-11 14:00:00","2021-03-11 16:15:00"
"Online Session - Week 5 - Tue 2pm","2021-03-16 14:00:00","2021-03-16 16:15:00"
"Online Session - Week 5 - Thu 2pm","2021-03-18 14:00:00","2021-03-18 16:15:00"
"Online Session - Week 7 - Tue 2pm","2021-03-23 14:00:00","2021-03-23 16:15:00"
"Online Session - Week 7 - Thu 2pm","2021-03-25 14:00:00","2021-03-25 16:15:00"
"Online Session - Week 8 - Tue 2pm","2021-03-30 14:00:00","2021-03-30 16:15:00"
"Online Session - Week 8 - Thu 2pm","2021-04-01 14:00:00","2021-04-01 16:15:00"
"Online Session - Week 9 - Tue 2pm","2021-04-06 14:00:00","2021-04-06 16:15:00"
"Online Session - Week 9 - Thu 2pm","2021-04-08 14:00:00","2021-04-08 16:15:00"
"Online Session - Week 10 - Tue 2pm","2021-04-13 14:00:00","2021-04-13 16:15:00"
"Online Session - Week 10 - Thu 2pm","2021-04-15 14:00:00","2021-04-15 16:15:00"
